X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain
7,5,mar,fri,86.2,26.2,94.3,5.1,8.2,51,6.7,0
7,4,oct,tue,90.6,35.4,669.1,6.7,18,33,0.9,0
7,4,oct,sat,90.6,43.7,686.9,6.7,14.6,33,1.3,0
8,6,mar,fri,91.7,33.3,77.5,9,8.3,97,4,0.2
8,6,mar,sun,89.3,51.3,102.2,9.6,11.4,99,1.8,0
8,6,aug,sun,92.3,85.3,488,14.7,22.2,29,5.4,0
8,6,aug,mon,92.3,88.9,495.6,8.5,24.1,27,3.1,0
8,6,aug,mon,91.5,145.4,608.2,10.7,8,86,2.2,0
8,6,sep,tue,91,129.5,692.6,7,13.1,63,5.4,0
7,5,sep,sat,92.5,88,698.6,7.1,22.8,40,4,0
7,5,sep,sat,92.5,88,698.6,7.1,17.8,51,7.2,0
7,5,sep,sat,92.8,73.2,713,22.6,19.3,38,4,0
6,5,aug,fri,63.5,70.8,665.3,0.8,17,72,6.7,0
6,5,sep,mon,90.9,126.5,686.5,7,21.3,42,2.2,0
6,5,sep,wed,92.9,133.3,699.6,9.2,26.4,21,4.5,0
6,5,sep,fri,93.3,141.2,713.9,13.9,22.9,44,5.4,0
5,5,mar,sat,91.7,35.8,80.8,7.8,15.1,27,5.4,0
8,5,oct,mon,84.9,32.8,664.2,3,16.7,47,4.9,0
6,4,mar,wed,89.2,27.9,70.8,6.3,15.9,35,4,0
6,4,apr,sat,86.3,27.4,97.1,5.1,9.3,44,4.5,0
6,4,sep,tue,91,129.5,692.6,7,18.3,40,2.7,0
5,4,sep,mon,91.8,78.5,724.3,9.2,19.1,38,2.7,0
7,4,jun,sun,94.3,96.3,200,56.1,21,44,4.5,0
7,4,aug,sat,90.2,110.9,537.4,6.2,19.5,43,5.8,0
7,4,aug,sat,93.5,139.4,594.2,20.3,23.7,32,5.8,0
7,4,aug,sun,91.4,142.4,601.4,10.6,16.3,60,5.4,0
7,4,sep,fri,92.4,117.9,668,12.2,19,34,5.8,0
7,4,sep,mon,90.9,126.5,686.5,7,19.4,48,1.3,0
6,3,sep,sat,93.4,145.4,721.4,8.1,30.2,24,2.7,0
6,3,sep,sun,93.5,149.3,728.6,8.1,22.8,39,3.6,0
6,3,sep,fri,94.3,85.1,692.3,15.9,25.4,24,3.6,0
6,3,sep,mon,88.6,91.8,709.9,7.1,11.2,78,7.6,0
6,3,sep,fri,88.6,69.7,706.8,5.8,20.6,37,1.8,0
6,3,sep,sun,91.7,75.6,718.3,7.8,17.7,39,3.6,0
6,3,sep,mon,91.8,78.5,724.3,9.2,21.2,32,2.7,0
6,3,sep,tue,90.3,80.7,730.2,6.3,18.2,62,4.5,0
6,3,oct,tue,90.6,35.4,669.1,6.7,21.7,24,4.5,0
7,4,oct,fri,90,41.5,682.6,8.7,11.3,60,5.4,0
7,3,oct,sat,90.6,43.7,686.9,6.7,17.8,27,4,0
4,4,mar,tue,88.1,25.7,67.6,3.8,14.1,43,2.7,0
4,4,jul,tue,79.5,60.6,366.7,1.5,23.3,37,3.1,0
4,4,aug,sat,90.2,96.9,624.2,8.9,18.4,42,6.7,0
4,4,aug,tue,94.8,108.3,647.1,17,16.6,54,5.4,0
4,4,sep,sat,92.5,88,698.6,7.1,19.6,48,2.7,0
4,4,sep,wed,90.1,82.9,735.7,6.2,12.9,74,4.9,0
5,6,sep,wed,94.3,85.1,692.3,15.9,25.9,24,4,0
5,6,sep,mon,90.9,126.5,686.5,7,14.7,70,3.6,0
6,6,jul,mon,94.2,62.3,442.9,11,23,36,3.1,0
4,4,mar,mon,87.2,23.9,64.7,4.1,11.8,35,1.8,0
4,4,mar,mon,87.6,52.2,103.8,5,11,46,5.8,0
4,4,sep,thu,92.9,137,706.4,9.2,20.8,17,1.3,0
4,3,aug,sun,90.2,99.6,631.2,6.3,21.5,34,2.2,0
4,3,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0
4,3,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0
4,3,aug,thu,91.7,114.3,661.3,6.3,17.6,45,3.6,0
4,3,sep,thu,92.9,137,706.4,9.2,27.7,24,2.2,0
4,3,sep,tue,90.3,80.7,730.2,6.3,17.8,63,4.9,0
4,3,oct,sun,92.6,46.5,691.8,8.8,13.8,50,2.7,0
2,2,feb,mon,84,9.3,34,2.1,13.9,40,5.4,0
2,2,feb,fri,86.6,13.2,43,5.3,12.3,51,0.9,0
2,2,mar,sun,89.3,51.3,102.2,9.6,11.5,39,5.8,0
2,2,mar,sun,89.3,51.3,102.2,9.6,5.5,59,6.3,0
2,2,aug,thu,93,75.3,466.6,7.7,18.8,35,4.9,0
2,2,aug,sun,90.2,99.6,631.2,6.3,20.8,33,2.7,0
2,2,aug,mon,91.1,103.2,638.8,5.8,23.1,31,3.1,0
2,2,aug,thu,91.7,114.3,661.3,6.3,18.6,44,4.5,0
2,2,sep,fri,92.4,117.9,668,12.2,23,37,4.5,0
2,2,sep,fri,92.4,117.9,668,12.2,19.6,33,5.4,0
2,2,sep,fri,92.4,117.9,668,12.2,19.6,33,6.3,0
4,5,mar,fri,91.7,33.3,77.5,9,17.2,26,4.5,0
4,5,mar,fri,91.2,48.3,97.8,12.5,15.8,27,7.6,0
4,5,sep,fri,94.3,85.1,692.3,15.9,17.7,37,3.6,0
5,4,mar,fri,91.7,33.3,77.5,9,15.6,25,6.3,0
5,4,aug,tue,88.8,147.3,614.5,9,17.3,43,4.5,0
5,4,sep,fri,93.3,141.2,713.9,13.9,27.6,30,1.3,0
9,9,feb,thu,84.2,6.8,26.6,7.7,6.7,79,3.1,0
9,9,feb,fri,86.6,13.2,43,5.3,15.7,43,3.1,0
1,3,mar,mon,87.6,52.2,103.8,5,8.3,72,3.1,0
1,2,aug,fri,90.1,108,529.8,12.5,14.7,66,2.7,0
1,2,aug,tue,91,121.2,561.6,7,21.6,19,6.7,0
1,2,aug,sun,91.4,142.4,601.4,10.6,19.5,39,6.3,0
1,2,aug,sun,90.2,99.6,631.2,6.3,17.9,44,2.2,0
1,2,aug,tue,94.8,108.3,647.1,17,18.6,51,4.5,0
1,2,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0
1,2,aug,thu,91.7,114.3,661.3,6.3,20.2,45,3.6,0
1,2,sep,thu,92.9,137,706.4,9.2,21.5,15,0.9,0
1,2,sep,thu,92.9,137,706.4,9.2,25.4,27,2.2,0
1,2,sep,thu,92.9,137,706.4,9.2,22.4,34,2.2,0
1,2,sep,sun,93.5,149.3,728.6,8.1,25.3,36,3.6,0
6,5,mar,sat,91.7,35.8,80.8,7.8,17.4,25,4.9,0
6,5,aug,sat,90.2,96.9,624.2,8.9,14.7,59,5.8,0
8,6,mar,fri,91.7,35.8,80.8,7.8,17.4,24,5.4,0
8,6,aug,sun,92.3,85.3,488,14.7,20.8,32,6.3,0
8,6,aug,sun,91.4,142.4,601.4,10.6,18.2,43,4.9,0
8,6,aug,mon,91.1,103.2,638.8,5.8,23.4,22,2.7,0
4,4,sep,sun,89.7,90,704.4,4.8,17.8,64,1.3,0
3,4,feb,sat,83.9,8,30.2,2.6,12.7,48,1.8,0
3,4,mar,sat,69,2.4,15.5,0.7,17.4,24,5.4,0
3,4,aug,sun,91.4,142.4,601.4,10.6,11.6,87,4.5,0
3,4,aug,sun,91.4,142.4,601.4,10.6,19.8,39,5.4,0
3,4,aug,sun,91.4,142.4,601.4,10.6,19.8,39,5.4,0
3,4,aug,tue,88.8,147.3,614.5,9,14.4,66,5.4,0
2,4,aug,tue,94.8,108.3,647.1,17,20.1,40,4,0
2,4,sep,sat,92.5,121.1,674.4,8.6,24.1,29,4.5,0
2,4,jan,sat,82.1,3.7,9.3,2.9,5.3,78,3.1,0
4,5,mar,fri,85.9,19.5,57.3,2.8,12.7,52,6.3,0
4,5,mar,thu,91.4,30.7,74.3,7.5,18.2,29,3.1,0
4,5,aug,sun,90.2,99.6,631.2,6.3,21.4,33,3.1,0
4,5,sep,sat,92.5,88,698.6,7.1,20.3,45,3.1,0
4,5,sep,mon,88.6,91.8,709.9,7.1,17.4,56,5.4,0
4,4,mar,fri,85.9,19.5,57.3,2.8,13.7,43,5.8,0
3,4,mar,fri,91.7,33.3,77.5,9,18.8,18,4.5,0
3,4,sep,sun,89.7,90,704.4,4.8,22.8,39,3.6,0
3,4,sep,mon,91.8,78.5,724.3,9.2,18.9,35,2.7,0
3,4,mar,tue,88.1,25.7,67.6,3.8,15.8,27,7.6,0
3,5,mar,tue,88.1,25.7,67.6,3.8,15.5,27,6.3,0
3,4,mar,sat,91.7,35.8,80.8,7.8,11.6,30,6.3,0
3,4,mar,sat,91.7,35.8,80.8,7.8,15.2,27,4.9,0
3,4,mar,mon,90.1,39.7,86.6,6.2,10.6,30,4,0
3,4,aug,thu,93,75.3,466.6,7.7,19.6,36,3.1,0
3,4,aug,mon,91.5,145.4,608.2,10.7,10.3,74,2.2,0
3,4,aug,mon,91.5,145.4,608.2,10.7,17.1,43,5.4,0
3,4,sep,sun,92.4,124.1,680.7,8.5,22.5,42,5.4,0
3,4,sep,tue,84.4,73.4,671.9,3.2,17.9,45,3.1,0
3,4,sep,fri,94.3,85.1,692.3,15.9,19.8,50,5.4,0
3,4,oct,sun,92.6,46.5,691.8,8.8,20.6,24,5.4,0
3,5,mar,mon,87.6,52.2,103.8,5,9,49,2.2,0
3,5,sep,fri,93.5,149.3,728.6,8.1,17.2,43,3.1,0
3,5,oct,wed,91.4,37.9,673.8,5.2,15.9,46,3.6,0
2,5,oct,sun,92.6,46.5,691.8,8.8,15.4,35,0.9,0
4,6,feb,sat,68.2,21.5,87.2,0.8,15.4,40,2.7,0
4,6,mar,mon,87.2,23.9,64.7,4.1,14,39,3.1,0
4,6,mar,sun,89.3,51.3,102.2,9.6,10.6,46,4.9,0
4,6,sep,thu,93.7,80.9,685.2,17.9,17.6,42,3.1,0
3,5,mar,tue,88.1,25.7,67.6,3.8,14.9,38,2.7,0
3,5,aug,sat,93.5,139.4,594.2,20.3,17.6,52,5.8,0
3,6,sep,sun,92.4,124.1,680.7,8.5,17.2,58,1.3,0
3,6,sep,mon,90.9,126.5,686.5,7,15.6,66,3.1,0
7,5,apr,sun,81.9,3,7.9,3.5,13.4,75,1.8,0
6,3,apr,wed,88,17.2,43.5,3.8,15.2,51,2.7,0
4,4,apr,fri,83,23.3,85.3,2.3,16.7,20,3.1,0
7,4,aug,sun,91.8,175.1,700.7,13.8,21.9,73,7.6,1
8,6,aug,wed,93.1,157.3,666.7,13.5,28.7,28,2.7,0
2,5,aug,thu,87.5,77,694.8,5,22.3,46,4,0
3,4,aug,sat,91.8,170.9,692.3,13.7,20.6,59,0.9,0
2,2,aug,tue,92.1,152.6,658.2,14.3,23.7,24,3.1,0
3,4,aug,tue,92.1,152.6,658.2,14.3,21,32,3.1,0
6,3,feb,sun,84.9,27.5,353.5,3.4,4.2,51,4,0
2,5,jul,sun,93.9,169.7,411.8,12.3,23.4,40,6.3,0
7,6,jul,wed,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2
7,4,jul,sat,91.6,104.2,474.9,9,22.1,49,2.7,0
7,4,jul,sat,91.6,104.2,474.9,9,24.2,32,1.8,0
7,4,jul,sat,91.6,104.2,474.9,9,24.3,30,1.8,0
2,5,jul,sat,91.6,104.2,474.9,9,18.7,53,1.8,0
7,5,jun,sun,93.1,180.4,430.8,11,22.2,48,1.3,0
8,6,jun,sun,90.4,89.5,290.8,6.4,15.4,45,2.2,0
8,6,jun,wed,91.2,147.8,377.2,12.7,19.6,43,4.9,0
6,5,jun,sat,53.4,71,233.8,0.4,10.6,90,2.7,0
6,5,jun,mon,90.4,93.3,298.1,7.5,20.7,25,4.9,0
3,6,jun,fri,91.1,94.1,232.1,7.1,19.2,38,4.5,0
3,6,jun,fri,91.1,94.1,232.1,7.1,19.2,38,4.5,0
6,5,may,sat,85.1,28,113.8,3.5,11.3,94,4.9,0
1,4,sep,sun,89.6,84.1,714.3,5.7,19,52,2.2,0
2,4,sep,sun,92.4,105.8,758.1,9.9,16,45,1.8,0
2,4,sep,sun,92.4,105.8,758.1,9.9,24.9,27,2.2,0
7,4,sep,sun,92.4,105.8,758.1,9.9,25.3,27,2.7,0
2,4,sep,sun,50.4,46.2,706.6,0.4,12.2,78,6.3,0
6,5,sep,wed,92.6,115.4,777.1,8.8,24.3,27,4.9,0
3,4,sep,wed,91.2,134.7,817.5,7.2,18.5,30,2.7,0
4,5,sep,thu,92.4,96.2,739.4,8.6,18.6,24,5.8,0
6,5,sep,thu,92.8,119,783.5,7.5,21.6,27,2.2,0
1,4,sep,sat,92.2,102.3,751.5,8.4,24.2,27,3.1,0
5,4,sep,sat,92.2,102.3,751.5,8.4,24.1,27,3.1,0
6,5,sep,sat,92.2,102.3,751.5,8.4,21.2,32,2.2,0
6,5,sep,sat,92.2,102.3,751.5,8.4,19.7,35,1.8,0
2,3,sep,mon,91.6,108.4,764,6.2,18,51,5.4,0
4,3,sep,mon,91.6,108.4,764,6.2,9.8,86,1.8,0
7,4,sep,mon,91.6,108.4,764,6.2,19.3,44,2.2,0
8,6,sep,mon,91.9,111.7,770.3,6.5,15.7,51,2.2,0
6,3,sep,mon,91.5,130.1,807.1,7.5,20.6,37,1.8,0
5,4,sep,fri,92.1,99,745.3,9.6,10.1,75,3.6,0
3,4,sep,fri,92.1,99,745.3,9.6,17.4,57,4.5,0
6,3,sep,fri,92.5,122,789.7,10.2,15.9,55,3.6,0
6,3,sep,fri,92.5,122,789.7,10.2,19.7,39,2.7,0
4,5,sep,tue,91.1,132.3,812.1,12.5,16.4,27,3.6,0
4,5,sep,sun,91,276.3,825.1,7.1,13.8,77,7.6,0
3,4,jul,wed,91.9,133.6,520.5,8,14.2,58,4,0
4,5,aug,sun,92,203.2,664.5,8.1,10.4,75,0.9,0
5,4,aug,thu,94.8,222.4,698.6,13.9,20.3,42,2.7,0
8,6,aug,mon,92.1,207,672.6,8.2,21.1,54,2.2,0
6,5,mar,thu,90.9,18.9,30.6,8,8.7,51,5.8,0
4,5,jan,sun,18.7,1.1,171.4,0,5.2,100,0.9,0
5,5,mar,thu,90.9,18.9,30.6,8,11.6,48,5.4,0
7,4,aug,fri,94.8,227,706.7,12,23.3,34,3.1,0
2,4,mar,tue,93.4,15,25.6,11.4,15.2,19,7.6,0
6,5,feb,mon,84.1,4.6,46.7,2.2,5.3,68,1.8,0
1,2,aug,sat,93.7,231.1,715.1,8.4,25.9,32,3.1,0
9,5,jun,wed,93.3,49.5,297.7,14,28,34,4.5,0
9,9,aug,fri,94.8,227,706.7,12,25,36,4,0